Country,Regulator,Token_Classification,Offering_Rules,Marketing_Rules,Exchange_CASP_VASP_Rules,KYC_AML,Local_Entity_Requirement,Restrictions,Legal_Source,Counsel_Status,Policy_Version
"EU/EEA (European Union)","ESMA / National Competent Authorities (NCAs)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Markets in Crypto-Assets Regulation (MiCA) (EU 2023/1114)","NOT ENGAGED","1.0"
"UAE","Virtual Assets Regulatory Authority (VARA) / CBUAE / DFSA / FSRA","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","VARA Virtual Assets and Related Activities Regulations 2023","NOT ENGAGED","1.0"
"UK","Financial Conduct Authority (FCA)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Financial Services and Markets Act 2000 (Financial Promotion) Order 2023 / FSMA 2023","NOT ENGAGED","1.0"
"USA","Securities and Exchange Commission (SEC) / Commodity Futures Trading Commission (CFTC)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Securities Act of 1933 / Securities Exchange Act of 1934 / Commodity Exchange Act","NOT ENGAGED","1.0"
"Canada","Canadian Securities Administrators (CSA) / OSC","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","CSA Staff Notice 21-327 / 21-329 & PCMLTFA","NOT ENGAGED","1.0"
"Australia","Australian Securities and Investments Commission (ASIC)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Corporations Act 2001 (Cth) / ASIC Information Sheet 225","NOT ENGAGED","1.0"
"Singapore","Monetary Authority of Singapore (MAS)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Payment Services Act 2019 (PSA) / Financial Services and Markets Act 2022","NOT ENGAGED","1.0"
"Hong Kong","Securities and Futures Commission (SFC)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Anti-Money Laundering and Counter-Terrorist Financing Ordinance (AMLO) / SFO","NOT ENGAGED","1.0"
"Japan","Financial Services Agency (FSA)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Payment Services Act / Financial Instruments and Exchange Act (FIEA)","NOT ENGAGED","1.0"
"Switzerland","Swiss Financial Market Supervisory Authority (FINMA)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","FINMA ICO Guidelines (2018) / Federal DLT Act","NOT ENGAGED","1.0"
"South Korea","Financial Services Commission (FSC) / Financial Intelligence Unit (FIU)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Act on Reporting and Using Specified Financial Transaction Information / Virtual Asset User Protection Act","NOT ENGAGED","1.0"
"Brazil","Comissão de Valores Mobiliários (CVM) / Banco Central do Brasil (BCB)","UNDETERMINED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Law No. 14,478/2022 (Virtual Assets Legal Framework) / CVM Guidance 40","NOT ENGAGED","1.0"
"Default/All Other","Applicable Local Regulator","LEGAL_REVIEW_REQUIRED","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED — requires counsel","UNDETERMINED","UNDETERMINED","Applicable Local Jurisdictional Laws","NOT ENGAGED","1.0"
