2026-08-13T05:48:11.6469942Z ##[group]Run cargo clippy --workspace --all-targets -- -D warnings
2026-08-13T05:48:11.6470415Z [36;1mcargo clippy --workspace --all-targets -- -D warnings[0m
2026-08-13T05:48:11.6495633Z shell: /usr/bin/bash -e {0}
2026-08-13T05:48:11.6495978Z env:
2026-08-13T05:48:11.6496247Z   CARGO_TERM_COLOR: always
2026-08-13T05:48:11.6496541Z   CARGO_HOME: /home/runner/.cargo
2026-08-13T05:48:11.6496824Z   CARGO_INCREMENTAL: 0
2026-08-13T05:48:11.6497091Z   CACHE_ON_FAILURE: false
2026-08-13T05:48:11.6497369Z ##[endgroup]
2026-08-13T05:48:12.0227429Z [1m[92m    Updating[0m crates.io index
2026-08-13T05:48:14.6849592Z [1m[92m     Locking[0m 1230 packages to latest compatible versions
2026-08-13T05:48:14.7314066Z [1m[92m      Adding[0m generic-array v0.14.7 [1m[33m(available: v0.14.9)[0m
2026-08-13T05:48:14.7315548Z [1m[92m      Adding[0m getrandom v0.2.17 [1m[33m(available: v0.4.3)[0m
2026-08-13T05:48:14.7355347Z [1m[92m      Adding[0m hex-literal v0.4.1 [1m[33m(available: v1.1.0)[0m
2026-08-13T05:48:14.7451005Z [1m[92m      Adding[0m jsonrpsee v0.24.11 [1m[33m(available: v0.26.0)[0m
2026-08-13T05:48:14.7532745Z [1m[92m      Adding[0m libp2p-swarm-derive v0.35.0 [1m[33m(available: v0.35.1)[0m
2026-08-13T05:48:14.8119472Z [1m[92m      Adding[0m sha2 v0.10.9 [1m[33m(available: v0.11.0)[0m
2026-08-13T05:48:14.8152577Z [1m[92m      Adding[0m sp-arithmetic v26.1.0 [1m[33m(available: v28.0.1)[0m
2026-08-13T05:48:14.8160572Z [1m[92m      Adding[0m sp-consensus v0.41.0 [1m[33m(available: v0.49.0)[0m
2026-08-13T05:48:14.8210446Z [1m[92m      Adding[0m sp-keystore v0.45.0 [1m[33m(available: v0.49.0)[0m
2026-08-13T05:48:14.8451749Z [1m[92m      Adding[0m tracing-subscriber v0.3.19 [1m[33m(available: v0.3.23)[0m
2026-08-13T05:48:14.8461025Z [1m[92m      Adding[0m unicode-normalization v0.1.22 [1m[33m(available: v0.1.25)[0m
2026-08-13T05:48:14.9408246Z [1m[92m Downloading[0m crates ...
2026-08-13T05:48:15.0132606Z [1m[92m  Downloaded[0m anstyle-parse v1.0.0
2026-08-13T05:48:15.0146118Z [1m[92m  Downloaded[0m anstyle-query v1.1.5
2026-08-13T05:48:15.0245305Z [1m[92m  Downloaded[0m anstyle v1.0.14
2026-08-13T05:48:15.0361876Z [1m[92m  Downloaded[0m defmt-parser v1.0.0
2026-08-13T05:48:15.0398233Z [1m[92m  Downloaded[0m anstream v1.0.0
2026-08-13T05:48:15.0481421Z [1m[92m  Downloaded[0m approx v0.5.1
2026-08-13T05:48:15.0496191Z [1m[92m  Downloaded[0m ark-serialize-derive v0.4.2
2026-08-13T05:48:15.0514466Z [1m[92m  Downloaded[0m ark-ff-asm v0.5.0
2026-08-13T05:48:15.0542366Z [1m[92m  Downloaded[0m der-parser v10.0.0
2026-08-13T05:48:15.0562031Z [1m[92m  Downloaded[0m der-parser v9.0.0
2026-08-13T05:48:15.0581764Z [1m[92m  Downloaded[0m bounded-vec v0.7.1
2026-08-13T05:48:15.0608299Z [1m[92m  Downloaded[0m exit-future v0.2.0
2026-08-13T05:48:15.0612023Z [1m[92m  Downloaded[0m form_urlencoded v1.2.2
2026-08-13T05:48:15.0651774Z [1m[92m  Downloaded[0m ark-ff-macros v0.4.2
2026-08-13T05:48:15.0665172Z [1m[92m  Downloaded[0m der v0.7.10
2026-08-13T05:48:15.0692877Z [1m[92m  Downloaded[0m dirs-sys-next v0.1.2
2026-08-13T05:48:15.0698797Z [1m[92m  Downloaded[0m digest v0.8.1
2026-08-13T05:48:15.0705447Z [1m[92m  Downloaded[0m digest v0.9.0
2026-08-13T05:48:15.0714231Z [1m[92m  Downloaded[0m dyn-clonable-impl v0.9.2
2026-08-13T05:48:15.0718987Z [1m[92m  Downloaded[0m ark-ff-asm v0.4.2
2026-08-13T05:48:15.0724338Z [1m[92m  Downloaded[0m ark-ff-asm v0.6.0
2026-08-13T05:48:15.0731659Z [1m[92m  Downloaded[0m ark-ff-macros v0.5.0
2026-08-13T05:48:15.0740616Z [1m[92m  Downloaded[0m ark-ed-on-bls12-381-bandersnatch v0.5.0
