2026-08-13T05:48:08.7394550Z ##[group]Run cargo check --workspace --all-targets
2026-08-13T05:48:08.7395382Z [36;1mcargo check --workspace --all-targets[0m
2026-08-13T05:48:08.7459206Z shell: /usr/bin/bash -e {0}
2026-08-13T05:48:08.7459488Z env:
2026-08-13T05:48:08.7459697Z   CARGO_TERM_COLOR: always
2026-08-13T05:48:08.7459961Z   CARGO_HOME: /home/runner/.cargo
2026-08-13T05:48:08.7460218Z   CARGO_INCREMENTAL: 0
2026-08-13T05:48:08.7460451Z   CACHE_ON_FAILURE: false
2026-08-13T05:48:08.7460674Z ##[endgroup]
2026-08-13T05:48:08.8193125Z [1m[92m    Updating[0m crates.io index
2026-08-13T05:48:12.2553610Z [1m[92m     Locking[0m 1230 packages to latest compatible versions
2026-08-13T05:48:12.3110296Z [1m[92m      Adding[0m generic-array v0.14.7 [1m[33m(available: v0.14.9)[0m
2026-08-13T05:48:12.3113821Z [1m[92m      Adding[0m getrandom v0.2.17 [1m[33m(available: v0.4.3)[0m
2026-08-13T05:48:12.3164683Z [1m[92m      Adding[0m hex-literal v0.4.1 [1m[33m(available: v1.1.0)[0m
2026-08-13T05:48:12.3272346Z [1m[92m      Adding[0m jsonrpsee v0.24.11 [1m[33m(available: v0.26.0)[0m
2026-08-13T05:48:12.3372700Z [1m[92m      Adding[0m libp2p-swarm-derive v0.35.0 [1m[33m(available: v0.35.1)[0m
2026-08-13T05:48:12.4069320Z [1m[92m      Adding[0m sha2 v0.10.9 [1m[33m(available: v0.11.0)[0m
2026-08-13T05:48:12.4112439Z [1m[92m      Adding[0m sp-arithmetic v26.1.0 [1m[33m(available: v28.0.1)[0m
2026-08-13T05:48:12.4122388Z [1m[92m      Adding[0m sp-consensus v0.41.0 [1m[33m(available: v0.49.0)[0m
2026-08-13T05:48:12.4185989Z [1m[92m      Adding[0m sp-keystore v0.45.0 [1m[33m(available: v0.49.0)[0m
2026-08-13T05:48:12.4467671Z [1m[92m      Adding[0m tracing-subscriber v0.3.19 [1m[33m(available: v0.3.23)[0m
2026-08-13T05:48:12.4479031Z [1m[92m      Adding[0m unicode-normalization v0.1.22 [1m[33m(available: v0.1.25)[0m
2026-08-13T05:48:12.5535776Z [1m[92m Downloading[0m crates ...
2026-08-13T05:48:12.5958858Z [1m[92m  Downloaded[0m Inflector v0.11.4
2026-08-13T05:48:12.6036090Z [1m[92m  Downloaded[0m ark-ed-on-bls12-381-bandersnatch v0.5.0
2026-08-13T05:48:12.6062436Z [1m[92m  Downloaded[0m anstream v1.0.0
2026-08-13T05:48:12.6104338Z [1m[92m  Downloaded[0m anstyle v1.0.14
2026-08-13T05:48:12.6127058Z [1m[92m  Downloaded[0m ark-ed-on-bls12-381-bandersnatch v0.6.0
2026-08-13T05:48:12.6144546Z [1m[92m  Downloaded[0m anstyle-parse v1.0.0
2026-08-13T05:48:12.6165328Z [1m[92m  Downloaded[0m async-fs v2.2.0
2026-08-13T05:48:12.6178077Z [1m[92m  Downloaded[0m blake2 v0.8.1
2026-08-13T05:48:12.6211445Z [1m[92m  Downloaded[0m allocator-api2 v0.2.21
